-314.897 331.395 2173.43, -293.204 223.144 2185.12, -359.351 221.998 2260.15, -227.056 224.29 2110.1, -390.755 76.5015 2273.87, -364.914 194.716 2181.57, -431.599 -69.756 2231.28, -191.544 81.9437 1921.89, -271.655 105.381 2202.32, -289.825 -13.0693 2264.57, -210.39 -11.6928 2174.47, -322.066 -191.112 2007.12, -402.696 -96.7947 2152.67, -263.58 -440.249 2307.91, -220.839 -309.506 1918.46
-323.2 331.755 2180.06, -291.84 212.656 2151.66, -345.465 225.438 2236.81, -238.215 199.875 2066.5, -394.23 109.215 2294.04, -401.407 241.51 2112.46, -432.994 52.3835 2207.15, -226.349 72.6686 2023.11, -270.535 112.107 2180.17, -268.37 16.1197 2239.07, -230.092 6.99593 2178.28, -307.66 -164.167 2028.33, -422.304 -126.223 2191.52, -247.161 -405.989 2306.4, -238.202 -321.871 1911.28
-334.561 356.033 2187.66, -300.137 256.75 2151.74, -344.782 270.215 2240.23, -255.492 243.285 2063.24, -458.24 223.338 2346.96, -217.295 135.692 2025.05, -427.434 41.3809 2236.69, -284.944 47.1618 1990.28, -279.21 140.638 2179.96, -281.919 31.6542 2255.03, -234.648 17.3976 2161.34, -307.195 -199.439 2284.66, -316.906 -95.9162 1823.65, -272.536 -414.509 2363.58, -232.473 -305.518 1961.19
-332.771 362.635 2193.11, -302.065 280.57 2147.46, -337.705 302.333 2254.43, -266.425 258.807 2040.49, -450.463 226.586 2351.25, -218.901 135.652 2025.06, -579.482 142.305 2255.53, -292.409 48.4703 1987.31, -279.438 156.116 2180.32, -275.627 43.1524 2269.65, -237.995 20.1727 2156.7, -312.706 -206.567 2301.84, -310.226 -94.241 1814.29, -298.592 -391.213 2491.45, -235.515 -304.339 1962.15
-330.108 366.395 2200.62, -302.868 286.376 2145, -335.677 307.973 2250.38, -270.059 264.778 2039.61, -452.519 238.176 2353.02, -220.777 135.368 2024.08, -590.879 182.487 2349.99, -274.404 58.7858 1997.81, -278.256 160.301 2178.5, -271.782 46.1669 2270.26, -235.505 22.2858 2153.74, -315.635 -210.791 2321.34, -303.786 -91.625 1809.76, -300.791 -376.24 2543.68, -232.638 -305.653 1963.51
-326.221 362.991 2209.52, -310.095 297.564 2150.77, -328.909 316.56 2251.05, -291.28 278.569 2050.48, -450.252 254.916 2326.91, -251.639 164.527 2037.84, -590.651 200.817 2360.09, -326.748 119.784 2054.32, -280.875 166.744 2181.03, -263.125 47.5041 2272.43, -240.184 24.3433 2150.15, -312.138 -207.352 2343.47, -304.994 -88.0685 1802.68, -295.772 -376.128 2552.81, -257.28 -319.775 2040.15
-318.285 384.962 2180.18, -309.384 297.82 2152.99, -323.425 292.063 2261.06, -295.343 303.578 2044.92, -450.314 232.69 2336.12, -453.283 402.462 2121.79, -615.205 213.09 2437.23, -659.963 351.259 2208.25, -284.053 190.818 2150.58, -268.07 79.9827 2220.13, -249.373 87.6493 2076.22, -333.318 -142.276 2490.81, -291.004 -125.95 1883.42, -257.862 -339.85 2293.03, -246.078 -352.661 2216.61
-318.79 392.309 2166.01, -308.528 297.824 2156.16, -324.066 285.533 2265.51, -292.99 310.116 2046.81, -454.283 228.375 2335.84, -457.666 402.848 2126.04, -604.622 200.321 2420.38, -647.987 356.072 2220.69, -280.001 188.505 2147.93, -262.85 70.1884 2219.74, -240.101 88.184 2059.65, -337.644 -149.587 2482.72, -294.189 -113.63 1876.01, -268.076 -351.43 2375.12, -235.313 -315.779 2249.66
-320.988 382.688 2184.8, -313.497 296.599 2173.94, -323.608 272.943 2290.45, -303.386 320.255 2057.43, -455.689 229.562 2315.55, -465.179 396.113 2147.44, -591.21 184.701 2402.11, -665.259 330.404 2241.47, -280.994 188.864 2154.89, -255.626 64.438 2218.04, -241.358 97.82 2053.63, -332.227 -155.314 2478.79, -299.563 -107.83 1893.72, -263.88 -358.042 2387.78, -256.138 -305.376 2285.67
-323.606 378.436 2193.94, -320.534 303.06 2170.74, -327.031 281.788 2290.1, -314.036 324.331 2051.39, -461.043 235.686 2268.69, -473.114 361.167 2153.04, -584.146 186.082 2395.97, -616.21 331.497 2339.35, -284.014 193.036 2153.12, -251.809 68.8881 2214.76, -243.18 97.1378 2056.25, -331.507 -151.704 2476.73, -300.673 -112.978 1899.09, -263.764 -355.852 2401, -267.462 -307.156 2273.59
-316.376 364.224 2160.51, -330.624 321.088 2228.26, -312.406 278.572 2348.76, -348.841 363.604 2107.77, -390.999 216.696 2511.53, -450.612 267.554 2166.87, -550.008 167.345 2489.02, -581.226 249.394 2386.28, -288.095 203.735 2180.42, -234.046 59.4984 2208.78, -257.085 113.267 2056.4, -278.842 -221.356 2252.24, -317.292 -107.323 1908.01, -249.442 -362.445 2423.93, -296.323 -331.989 2243.3
-318.749 367.324 2168.96, -323.206 313.949 2210.55, -308.295 278.528 2331.13, -338.116 349.37 2089.98, -389.629 206.677 2511.29, -456.21 254.796 2167.68, -547.721 152.493 2496.14, -569.978 245.579 2373.96, -284.082 201.667 2172.73, -235.126 66.0293 2214.41, -254.789 112.741 2055.41, -281.881 -220.11 2247.75, -315.783 -112.381 1915.83, -250.508 -354.002 2450.05, -294.388 -359.059 2249.8
-318.397 371.439 2171.84, -331.629 293.099 2147.05, -337.013 286.428 2217.6, -326.245 299.771 2076.49, -396.131 238.57 2467.65, -441.721 190.089 2141.22, -498.034 141.175 2095.34, -562.449 202.851 2351.97, -287.973 190.989 2140.72, -250.693 80.9759 2217.97, -237.939 96.7801 2050.83, -296.056 -207.753 2244.15, -298.087 -126.722 1914.73, -267.027 -336.587 2474.36, -271.505 -351.241 2250.13
