-1294.7 363.841 3267.54, -1296.86 245.341 3262.55, -1270.26 248.356 3164.03, -1323.46 242.326 3361.07, -1310.48 52.8648 3162.41, -1244.75 91.1181 3285.38, -1253.41 -198.421 3106.34, -1263.12 181.822 3119.06, -1303.24 117.666 3256.92, -1301.37 -9.07501 3220.75, -1317.86 -10.9442 3281.83, -1280.19 -275.638 3214.07, -1297.45 -210.731 3258.69, -1198.12 -395.065 3055.9, -1191.77 -360.39 3024.21
-1143.44 370.338 3350.3, -1215.81 173.012 3261.13, -1224.17 170.425 3158.66, -1207.44 175.599 3363.61, -1262.08 24.1413 3143.57, -1141.36 137.908 3255.41, -1398.39 -320.431 3233.23, -1025.19 40.4132 3341.99, -1246.97 117.827 3265.07, -1284.16 60.7786 3195.21, -1272.12 64.5044 3342.8, -1193.63 -234.522 3156.48, -1221.06 -206.179 3167.75, -1182.49 -487.163 3182.32, -1126.31 -387.164 3072.55
-1217.83 357.549 3391.46, -1210.06 189.757 3272.26, -1209.78 187.793 3166.57, -1210.33 191.721 3377.94, -1254.79 19.5214 3144.19, -1113.09 136.274 3282.1, -1398.39 -328.177 3227.37, -1000.6 67.9293 3373.76, -1246.85 123.128 3273.4, -1283.43 55.0201 3194.99, -1283.85 57.9774 3354.09, -1208.41 -219.299 3162.94, -1214.41 -204.186 3169.54, -1193.03 -485.678 3188.97, -1122.67 -391.066 3069.86
-1200.6 367.608 3396.06, -1204.01 244.169 3327.21, -1179.73 271.815 3201.14, -1228.29 216.523 3453.28, -1235.99 104.293 3184.03, -1083.04 131.355 3313.45, -1368.25 -239.764 3241.61, -967.174 103.095 3413.62, -1243.54 149.303 3298.79, -1268.92 70.5502 3196.9, -1297.22 38.3249 3343.85, -1206.9 -190.926 3181.8, -1227.08 -213.274 3166.91, -1185.31 -469.031 3198.32, -1143.36 -404.414 3073.74
-1223.56 383.455 3424.09, -1208 248.867 3335.43, -1184.18 268.634 3215.64, -1231.82 229.1 3455.23, -1255.63 85.8093 3202.48, -1121.29 207.357 3319.49, -1368.14 -245.223 3249.67, -960.27 196.436 3443.3, -1248.47 148.14 3310.76, -1276.61 57.6513 3224.05, -1301.29 37.1738 3348.14, -1189.02 -197.373 3198.92, -1208.16 -174.601 3133.27, -1206 -461.038 3206.3, -1140.83 -406.805 3076.66
-1232.47 394.15 3439.01, -1211.45 251.174 3339.59, -1184.92 266.706 3223.86, -1237.98 235.641 3455.32, -1252.67 79.1026 3210.15, -1081.17 256.58 3352.57, -1361.94 -246.604 3248.53, -942.946 297.799 3463.36, -1245.14 142.948 3317.34, -1266.79 41.77 3242.58, -1290.86 27.6726 3347.61, -1206.37 -176.325 3191.48, -1204.22 -162.406 3140.03, -1219.28 -440.296 3219.1, -1148.75 -411.383 3089.34
-1230.93 406.368 3454.97, -1215.27 266.459 3355.16, -1196.49 282.065 3252.86, -1234.04 250.854 3457.45, -1259.56 70.3017 3206.71, -1146.43 330.965 3333.89, -1372.64 -264.742 3240.38, -1061.24 312.375 3471.18, -1249.41 151.189 3331.3, -1275.93 42.2562 3265.92, -1291.18 29.583 3348.99, -1211.49 -176.827 3184.26, -1205.39 -158.345 3132.75, -1224.64 -439.003 3234.47, -1152.89 -410.005 3096.09
-1226.74 414.267 3431.58, -1243.01 270.211 3313.54, -1210.68 265.952 3247.5, -1275.34 274.469 3379.58, -1280.24 62.6243 3188.4, -1136.93 366.866 3363.72, -1388.36 -289.55 3226.34, -1039.76 354.289 3478.26, -1263.01 152.203 3311.35, -1261.79 31.4007 3265.83, -1304.22 36.9898 3352.51, -1199.18 -192.166 3185.63, -1221.15 -143.232 3121.31, -1213.54 -457.261 3253.34, -1166.8 -394.616 3095.11
-1222.1 417.489 3421.63, -1240.14 270.512 3325.64, -1213.15 274.066 3249.63, -1267.13 266.958 3401.64, -1258.7 73.2003 3175.86, -1149.7 371.322 3385.95, -1361.74 -202.795 3271, -1001.31 481.87 3472.2, -1259.99 152.672 3313.08, -1256.58 37.8946 3235.04, -1303.09 31.7704 3366.01, -1189.93 -173.739 3177, -1220.22 -145.175 3125.83, -1227.87 -406.978 3140.59, -1162.15 -397.568 3100.65
-1211.15 415.234 3410.9, -1245.4 269.793 3352.22, -1237.96 256.396 3258.86, -1252.84 283.191 3445.58, -1249.36 83.7271 3201.41, -1200.28 459.889 3331.29, -1366.86 -167.389 3256.68, -1033.49 566.637 3440.96, -1272.83 148.447 3367.45, -1296.34 20.0321 3333.42, -1304.19 34.1694 3431.93, -1236.62 -301.101 3391.34, -1245.38 -134.405 3248.22, -1173.96 -566.599 3430.92, -1177.68 -397.555 3222.99
-1192.56 412.897 3379.3, -1244.27 271.263 3351.72, -1245.73 268.217 3256.12, -1242.82 274.31 3447.32, -1240.34 126.024 3223.69, -1167.51 450.26 3370.05, -1379.24 -188.205 3264.43, -1013.55 522.547 3480.23, -1268.95 151.993 3355.9, -1294.75 30.3527 3285.69, -1292.49 35.0929 3434.45, -1156.88 -93.4835 3043.64, -1256.63 -94.1767 3667.82, -1194.36 -357.614 3051.89, -1181.25 -392.508 3250.17
-1179.63 406.105 3359.17, -1241.57 274.05 3353.75, -1220.88 309.795 3265.81, -1262.27 238.305 3441.69, -1203.55 197.25 3251.66, -1146.83 414.098 3359.83, -1354.83 -35.0513 3256.62, -1041.51 495.106 3477.56, -1236.3 161.146 3309.1, -1226.83 55.4841 3246.63, -1235.22 41.0003 3282.26, -1163.45 -108.023 3179.27, -1239.98 -181.487 3378.52, -1186.05 -368.514 3174.25, -1161.84 -367.891 3099.93
-1171.74 400.437 3351.57, -1240.69 272.931 3357.62, -1222.78 302.212 3258.68, -1258.61 243.65 3456.55, -1206.95 173.535 3237.51, -1159.2 422.247 3358.88, -1344.72 -75.0375 3266.37, -996.009 644.042 3473.78, -1243.12 160.973 3324.04, -1242.98 53.2145 3276.28, -1248.12 44.8176 3304.65, -1146.96 -120.028 3175.69, -1237.13 -192.458 3378.86, -1156.51 -351.331 3140.49, -1150.29 -372.979 3108.46
-1173.36 401.462 3357.52, -1239.09 270.026 3345.12, -1222.37 307.125 3242.57, -1255.8 232.928 3447.67, -1184.07 218.298 3264.72, -1159.08 407.21 3351.82, -1202.95 -102.855 3050.56, -1016.83 533.424 3429.98, -1232.51 134.638 3297.21, -1218.71 15.2569 3205.06, -1233.14 -16.7584 3293.56, -1196.79 -193.836 3276.47, -1237.7 -148.641 3423.25, -1116.81 -405.199 3082.1, -1129.51 -344.874 3167.64
