-259.77 595.184 2686.17, -217.6 370.536 2671.89, -171.304 367.664 2764.72, -263.896 373.408 2579.05, -165.668 170.604 2937.87, -199.561 147.485 2508.52, -188.152 174.414 2699.98, -179.542 -93.352 2361.31, -223.648 239.193 2670.84, -197.007 105.823 2735.34, -262.383 109.878 2604.25, -192.779 -53.6987 2529.27, -83.7259 25.6039 2321.68, -165.359 -363.572 2685.47, -113.426 -282.855 2186.35
-251.845 592.654 2660.39, -220.73 382.283 2681.17, -177.873 380.025 2772.96, -263.586 384.54 2589.38, -172.802 182.888 2943.74, -199.599 154.931 2522.63, -196.879 202.138 2681.83, -183.604 -86.9755 2375.55, -224.324 245.298 2679.48, -196.305 106.648 2745.5, -259.533 109.978 2610.08, -241.463 -229.168 2896.56, -89.6808 33.3298 2330.81, -159.8 -389.232 2703.5, -121.658 -273.215 2207.64
-245.722 516.044 2661.87, -222.051 390.296 2688.61, -191.037 385.537 2785.19, -253.065 395.054 2592.04, -187.536 188.089 2952.66, -190.326 161.558 2525.24, -213.986 177.984 2732.9, -173.15 -83.2458 2377.13, -216.765 247.822 2679.9, -186.289 101.484 2749.63, -236.67 109.213 2592.74, -228.85 -241.231 2889.54, -103.595 44.7803 2339.31, -141.492 -392.849 2639.52, -134.529 -264.081 2218.84
-250.63 509.48 2657.15, -222.696 397.495 2697.59, -196.129 391.211 2797.96, -249.262 403.779 2597.22, -192.144 198.51 2950.69, -190.63 164.555 2525.27, -224.61 177.012 2790.23, -175.067 -75.9428 2380.56, -216.489 253.219 2686.91, -188.56 103.805 2758.31, -232.003 114.081 2594.17, -229.577 -248.912 2890.89, -105.239 51.4056 2337.2, -170.409 -461.592 2640.55, -135.891 -257.156 2218.85
-277.219 523.477 2667.15, -239.31 444.679 2724.02, -235.19 406.839 2809.9, -243.43 482.519 2638.15, -233.227 217.138 2961.88, -173.724 265.121 2585.95, -267.022 184.429 2813.12, -153.254 -67.5565 2412.04, -225.947 357.523 2684.98, -210.634 252.461 2686.56, -214.533 288.272 2605.3, -196.152 -215.076 2902.69, -148.903 50.6758 2358.34, -141.949 -438.074 2703.64, -173.044 -257.331 2205.54
-248.565 552.493 2679.93, -226.363 438.466 2724.09, -248.6 402.569 2813.26, -204.125 474.362 2634.93, -246.733 215.116 2963.3, -158.802 242.291 2581.41, -279.529 164.917 2830.61, -146.357 -56.6159 2420.09, -225.973 352.602 2689.62, -236.634 248.9 2699.47, -214.531 284.578 2610.84, -204.87 -143.304 2879.24, -147.596 49.6501 2372.59, -151.745 -457.255 2748.23, -166.161 -260.508 2209.51
-257.181 567.41 2670.17, -222.206 436.64 2725.45, -251.82 403.003 2820.5, -192.593 470.277 2630.41, -250.572 217.269 2968.95, -158.405 224.246 2575.66, -280.734 148.638 2846.75, -147.546 -53.6321 2421.53, -226.796 349.276 2693.11, -245.04 246.402 2704.58, -217.73 277.421 2616.93, -204.007 -156.814 2877.47, -146.808 45.8021 2383.88, -153.881 -458.234 2734.96, -163.005 -267.74 2212.18
-266.274 386.088 2779.06, -219.832 440.541 2695.21, -242.569 427.407 2773.84, -197.096 453.675 2616.58, -242.452 236.556 2974.5, -166.638 199.946 2557.75, -273.948 148.316 2870.6, -157.205 -70.6725 2419.87, -228.442 345.043 2676.77, -250.039 242.043 2703.25, -224.062 257.049 2613.41, -215.053 -136.142 2867.99, -135.822 48.5553 2381.69, -161.023 -436.494 2755.28, -152.782 -265.715 2207.32
-266.446 385.673 2779.81, -222.119 430.314 2678.42, -211.806 443.235 2746.13, -232.432 417.393 2610.72, -223.456 306.999 2930.63, -196.898 159.952 2551.12, -268.507 243.799 2844.51, -191.227 -104.106 2419.84, -210.028 305.718 2700.36, -184.532 197.917 2810.3, -211.342 164.328 2634.29, -236.001 -80.0152 2853.59, -111.033 -29.8653 2394.14, -175.604 -372.623 2741.94, -132.537 -344.233 2230.47
-257.829 404.496 2740.76, -230.308 366.285 2713.23, -230.609 363.969 2833.57, -230.007 368.6 2592.89, -209.612 468.712 2588.88, -205.837 123.35 2507.86, -428.166 599.456 2496.06, -187.226 -114.081 2379.42, -209.557 264.788 2711.33, -189.053 161.385 2808.48, -188.558 165.197 2610.38, -239.094 -120.946 2852.6, -111.043 17.9784 2365.98, -189.576 -370.756 2793.62, -128.376 -285.847 2251.06
-259.76 399.052 2751.92, -230.394 358.201 2708.6, -232.897 359.84 2831.37, -227.892 356.562 2585.83, -232.029 473.027 2577.9, -195.136 113.822 2498.29, -431.546 578.694 2473.12, -183.26 -110.679 2378.15, -206.284 250.354 2710.53, -184.164 143.809 2810.07, -180.184 141.203 2614.85, -232.841 -135.477 2842.47, -106.56 13.8173 2355.16, -173.946 -392.837 2782.17, -135.173 -284.41 2243.9
-284.856 392.861 2716.6, -224.36 363.15 2690.33, -232.539 375 2825.08, -216.181 351.3 2555.58, -263.769 489.433 2550.63, -185.658 93.9244 2493.1, -468.638 576.329 2418.99, -163.279 -141.759 2376.02, -201.932 247.633 2701.85, -185.437 140.714 2811.13, -173.569 123.52 2615.61, -230.559 -141.926 2837.41, -102.47 8.8316 2345.63, -169.907 -410.216 2813.49, -134.576 -291.545 2238.04
